summonername,games_lost,loss_rate_percentage
"바 드 본 좌",9,8.18
"Shu ying",9,7.83
everydayPOPO,9,7.83
AAAxiaoxuAAA,9,7.76
"1 27 japan",9,7.56
Hegzzz,9,7.56
"GCA Juvenile",9,7.56
검정짧은머리,9,7.38
서울가즈아,9,7.26
금동약사여래입상,9,7.14
Excuse,9,7.09
"      E       8",9,7.09
"Space baby",9,7.09
"hun  tian  di",9,6.87
"불 같은 나의사랑",9,6.77
쥐배자,9,6.67
HiddenGosu,9,6.62
"19 Again July77",9,6.57
ad202,9,6.52
"Zhi Ma Lin",9,6.48
쀼로로,9,6.25
미아된폼,9,6.16
Helenfans,9,6.16
"die meng",9,6.08
프로연락좀줘요,9,6.04
시원한전자담배,9,6.00
Mocha,9,5.96
"실 밥",9,5.84
역시폭군,9,5.81
"Gen G cuvee",9,5.81
"jiwang Fans",9,5.77
pupupupupu,9,5.56
OAMVL,9,5.52
03정글러,9,5.49
"가을이 오는 날",9,5.42
GimGoon,9,5.39
BoRoona,9,5.20
용현중3,9,5.20
밤이시져,9,5.09
우짜냐우째,9,5.00
내목숨은아이어에,9,5.00
"해강고 원딜",9,5.00
내현자타임,9,5.00
p9q6p9q,9,4.95
마토공주,9,4.89
"이런 매서운 버돌",9,4.87
"LNG l1ght",9,4.64
핑채팅차단소통X,9,4.64
"카나비 그림자",9,4.59
"제 2 의 닉네임",9,4.55
현피뚜다이빨빠짐,9,4.50
찬물로샤워못해요,9,4.35
탑똥파리,9,4.35
bilibilibilibiii,9,4.15
YeqiL7I,9,4.07
8976,9,4.00
"Yun Yan Cheng Yu",9,3.70
"two hamburger",9,3.44
xwzn,9,3.33
"찢어진 책페이지",9,2.62
"아 신너 몬낭",8,28.57
사랑둥이,8,24.24
"잼 비",8,21.05
"햄 츄",8,17.78
무거운어깨,8,16.67
"메 조",8,16.33
너의카타는,8,14.55
"85년생 남자",8,14.55
DGQ,8,14.29
"알았다 너희수준",8,14.04
Jun9Ier,8,14.04
"By myse1f",8,13.12
"밤이 지새도록",8,13.12
김치는찢어야제맛,8,12.50
갓승딱가리,8,12.31
"유능한 뱃사공",8,12.12
Bunzzz,8,11.27
나는방관자이다,8,11.11
Japhkiel,8,11.11
"OST Part 1",8,11.11
"민상아 웃어야해 ",8,10.96
써렌페티쉬,8,10.81
커소리어스나,8,10.53
"배고파서 웃었어",8,10.39
"와 지골몬 야스오",8,10.39
"Mvp Garden",8,10.39
podongpodong,8,10.39
Morgan5358,8,10.39
갱바라지마셈,8,10.39
"zoe fan",8,10.00
"코 태",8,10.00
"연어 마루",8,9.88
"도넛을 먹고 싶어",8,9.88
aasdasdasd,8,9.76
"Nover be Carry C",8,9.76
든든뜨끈국밥충,8,9.64
"The Marchen",8,9.52
Er1ca,8,9.41
holllyshit,8,9.30
희진재민,8,9.20
모링몬2,8,9.20
"다시 시작up",8,9.20
잃고싶지않아,8,9.09
BerTi,8,9.09
준라가스,8,8.99
loveyaya,8,8.89
clrflni,8,8.89
가시덤불로,8,8.70
"협곡 은둔고슈",8,8.70
Gnarab,8,8.70
"Chic 솔다",8,8.70
mazuong2k,8,8.60
06070929,8,8.33
ruanruanruan,8,8.25
"comfort me",8,8.16
가현이발가락꿀맛,8,8.00
"지 연 증",8,8.00
"Quan Lin",8,8.00
cl666,8,7.92
Vocr,8,7.84
"단 무 gi",8,7.77
"O x O      O v O",8,7.77
"DRX Deft BOT",8,7.77
채팅은의미가없다,8,7.77
1000점찍고닉변,8,7.62
"Caring for you",8,7.62
"Gweiss KR",8,7.62
"Jin Air Malrang",8,7.55
qvkmqvk,8,7.55
GooRa18,8,7.55
gtqeti231,8,7.48
YunaiQvO,8,7.34
qwertyuiopzxcvb,8,7.21
"에이펙스 고고",8,7.21
"One miao OvO",8,7.14
꿈없눈사람,8,7.14
"나있으면 겜이김",8,7.14
gtqeti332,8,7.02
"apple of my eyes",8,6.96
"쩜 훈",8,6.90
Toyz,8,6.90
"DILC 1T TKS",8,6.90
"Hunting Begins",8,6.84
"WE 77",8,6.56
"우주 전체를 줄게",8,6.50
Raging,8,6.35
ASAAAAS,8,6.35
"DWG Punch",8,6.35
"Victory a king",8,6.20
huntiandi1,8,6.11
Gonezz,8,6.11
"Blitzkrieg Bop",8,6.06
"WP UK",8,5.97
woyiwusuoyou,8,5.93
HoyaS2,8,5.88
"진 혐오증 환자",8,5.84
"챌찍으면 닉변함",8,5.84
진천군주민,8,5.80
"zei ji ba ben",8,5.76
"마 닿",8,5.71
Y1han3zz,8,5.67
Wer7,8,5.63
pupuiqoaix,8,5.59
병찬이구른다,8,5.52
S2ro,8,5.48
두번의기회는없다,8,5.44
NaruseSh1roha,8,5.37
"fei ji zha dan ",8,5.37
"Stink boy",8,5.33
"Maki V3",8,5.30
"80ping zhemewan",8,5.06
Qout,8,4.97
브브브브브,8,4.97
gjrrjg123,8,4.97
려창동,8,4.88
Gipsy였던것,8,4.76
"겜방튜브 구독좀",8,4.71
Lauva,8,4.65
치즈감자대가리,8,4.62
iaBoaiXSE,8,4.60
Cxddybf,8,4.60
"그린티 민트초코",8,4.52
"백수 권영재",8,4.47
SPARKLE03,8,4.44
kshakeit,8,4.40
jdmmmmmmm,8,4.35
burgle,8,4.28
"SKT T1 Gumayusl",8,4.26
"Chen niannian",8,4.17
pityz,8,4.12
광어는서뉴꺼,8,4.08
2week0,8,4.08
AfterglowY,8,4.06
몸안좋은사람,8,4.00
" Diamc",8,4.00
해외나간Wilder,8,4.00
ChenlunGod,8,3.88
Trisak,8,3.76
"세곡동 주민",8,3.69
존멋보스,8,3.67
"HKA Rebirth",8,3.67
"cai shi yuan zui",8,3.65
KrisWuu,8,3.62
"happy ggame",8,3.62
"little fish head",8,3.56
"HLE SoHwan",8,3.52
호잇이,8,3.51
9gnik,8,3.36
"EDGY Dawn",8,3.13
복슬복슬겨드랑이,7,28.00
"영재는 영재",7,20.59
Coconut1,7,17.50
위대하신트롤님,7,14.58
"Awe Horam",7,14.58
신은팬티를입는가,7,14.29
"선취점 멜로디",7,13.73
gtqeti254,7,13.73
"해 숑",7,13.73
부족한제탓입니다,7,13.73
qeweqwewqe,7,13.21
"보람고 유소정",7,12.96
M0VING,7,12.96
리택돈,7,12.73
겜방튜브좋아요좀,7,12.28
"아기공룡 주마",7,12.07
"원 무 띠",7,11.29
킬머거따리,7,11.29
가오겨민,7,10.45
rAweas,7,10.45
"Challenger Kat",7,10.29
SmarTV,7,10.00
Jad1,7,9.86
"kissing me",7,9.86
"Regret the past",7,9.86
돌거북이힘을숨김,7,9.72
롤오브레전드1234,7,9.59
잼띵이,7,9.46
므라기,7,9.46
"Kim Sang Hoon",7,9.33
닥쳐라배준호,7,9.21
"Yaegaki Erika",7,9.09
JcleFlaw,7,8.97
갓홀릭,7,8.97
내가잘했네,7,8.97
"너가 보영",7,8.86
졸찍히,7,8.75
"VCS Player",7,8.75
Jug001,7,8.54
"Kozume Kenma",7,8.54
vv12307,7,8.43
"SKT wind",7,8.43
승리바리,7,8.33
"독기먹은 정글러",7,8.33
Sexy123,7,8.33
"postive mind",7,8.14
"HLE NAKGY",7,8.05
"hey it s ok",7,7.96
zhuanzhuyouxi,7,7.96
"KZ Hades",7,7.78
"LOOK ME I  vs 5",7,7.78
가나마라바마,7,7.61
Nu99et,7,7.61
LuPel,7,7.61
"달의 천칭",7,7.61
wr1d,7,7.53
Shadowwannamoney,7,7.53
Destiny,7,7.53
empt2yfans,7,7.53
jkepegiogn,7,7.45
하하나야,7,7.45
iKon999,7,7.37
BJ또루이,7,7.37
SD건담캡슐파이,7,7.37
10Cmmm,7,7.37
파란색칠할래요,7,7.37
aeternitas,7,7.37
RustLess,7,7.37
세포융합,7,7.37
"피닉스 나무처럼",7,7.22
"때려 부셔버리다",7,7.22
"원 쥰",7,7.07
지존협곡몬스터,7,7.07
Rascal,7,7.07
"렘 꽈배기",7,7.00
c빠그,7,6.93
dolcasa,7,6.86
최영건,7,6.86
gtqeti235,7,6.80
O쿠로,7,6.80
WaterbowI,7,6.67
구급소방공무원,7,6.60
"냥 체",7,6.54
다음큐트는너야,7,6.54
"GCA Star",7,6.54
"phoenix phoenix ",7,6.54
zer그링,7,6.42
"RJ Zerost",7,6.42
MapSSi,7,6.36
Unioos,7,6.36
나현규,7,6.36
"Gen G Ruler",7,6.31
"FA YuNi",7,6.25
maengsdog,7,6.20
"Fa find team Top",7,6.20
"Masterpiece V",7,6.20
DragonEC2,7,6.14
sadsadasdasd1,7,6.14
남은건패배뿐이야,7,6.09
"왕이 되려는자",7,6.09
기억소각,7,6.03
uiliiliuuiuiu,7,5.88
"지 누 교",7,5.83
"Smoking ZKX",7,5.83
"따 코",7,5.83
chaxxx,7,5.83
"Lost time1",7,5.79
"wang yi fan",7,5.79
Nekoo,7,5.79
Rocket1,7,5.74
"초심찾는 영환",7,5.69
미드정글정신나가,7,5.69
커피물조절장인,7,5.69
트위치TV에디노,7,5.69
"못하겠어 이제",7,5.65
"Xhow 1215",7,5.65
"폐관수련 귓x",7,5.65
이상애교튜브,7,5.60
"just go up highr",7,5.60
아라마내맘받아줘,7,5.47
"TOO OLD",7,5.43
AlvinG0,7,5.43
"그런 사람",7,5.39
"Paranoid XD",7,5.39
이하사TV,7,5.30
"천상계 김민교",7,5.22
"내가 조절해볼게",7,5.15
"Need 1500LP PLZ",7,5.15
"li gua er qu ",7,5.11
PilchaI,7,5.00
"10k EGO",7,4.97
"Triple try",7,4.93
"Serendipity on",7,4.93
"Guo Hao Fans",7,4.93
"SKT T1 Ellim",7,4.93
Ndhm,7,4.90
화낼줄아는자,7,4.90
"Me want fly",7,4.83
Lucile,7,4.80
오마오마오마걸,7,4.76
edg2004,7,4.70
혼자두면돌연사함,7,4.67
77GameRi,7,4.58
Rkist,7,4.58
Sanxun3,7,4.55
"그 연습생",7,4.55
"ESS GuGer",7,4.55
dingdinglixianji,7,4.49
" Dreams1",7,4.49
일단닉변하고봄,7,4.49
"VSG Ruby",7,4.46
Me1yong,7,4.43
Dalley,7,4.35
애니비아로가버렷,7,4.32
"eat healthily",7,4.32
s20jg,7,4.29
Pigrl,7,4.19
DANCEBOT,7,4.14
sunser,7,4.12
"따 균",7,4.09
심성이썩은사람,7,4.05
버투소,7,4.00
쪼렙이다말로하자,7,3.96
"우주를 보다",7,3.93
"강인한방패 애디",7,3.89
레전드2188판다딱,7,3.85
"She is limp",7,3.74
"SKT T1 Canna",7,3.74
"Feel Hungry",7,3.74
so1lt,7,3.72
"하 퀸",7,3.68
"내 용",7,3.63
wenwen2020fightg,7,3.61
뷜로루이,7,3.52
Sturt,7,3.50
"살려줘요 형님아",7,3.48
불광아즈택고릴라,7,3.48
"T1 supernova",7,3.29
Wega2,7,3.27
예민해진사람,7,3.24
"EDG Nuguri",7,3.10
"VSG 마이티베어",7,2.88
내가희생할게,6,37.50
Asht,6,31.58
타르트,6,30.00
Aqu4,6,30.00
욕하지말자아아,6,26.09
마나와현피고,6,26.09
자기야,6,25.00
"수능보기 싫어요",6,20.00
누구보다절실하게,6,17.65
아리가뚜,6,17.65
"peanut fan  2",6,16.22
"주인님 살려",6,15.79
"원딜하는 뚜뜨",6,15.00
qazwsxedcrt,6,15.00
"만 당",6,14.29
뿌리난데이,6,14.29
강남메이드,6,14.29
SM플레이선수,6,13.64
Diviner,6,13.64
"카타 킹",6,13.64
완다참격못피함,6,13.64
"Pro ADCarry",6,13.33
"달이 없다",6,13.33
"MAVE plzM",6,13.33
"잔 낫",6,13.04
건국대표정글,6,13.04
UNSTAGED,6,12.77
난냐끼,6,12.77
"성 규 아 이 디",6,12.50
paxsxasq,6,12.50
기엽네,6,12.50
승지부기,6,12.25
"KZ Won",6,12.00
"순록의 호흡",6,12.00
