gameId,gameDuration,gameMode,gameVersion
4247263043,1323,CLASSIC,10.6.314.4405
4247155821,1317,CLASSIC,10.6.314.4405
4243963257,932,CLASSIC,10.6.313.8894
4241678498,2098,CLASSIC,10.6.313.8894
4241538868,2344,CLASSIC,10.6.313.8894
4241394461,1567,CLASSIC,10.6.313.8894
4233222221,1686,CLASSIC,10.6.313.8894
4233113995,1588,CLASSIC,10.6.313.8894
4231100932,1618,CLASSIC,10.6.313.8894
4229230455,1126,CLASSIC,10.6.313.2784
4229039003,193,CLASSIC,10.6.313.2784
4228952659,1201,CLASSIC,10.6.313.2784
4228244819,1262,CLASSIC,10.6.313.2784
4227123625,1429,CLASSIC,10.6.313.2784
4222795586,1628,CLASSIC,10.5.312.392
4222632382,1692,CLASSIC,10.5.312.392
4219736584,1903,CLASSIC,10.5.312.392
4219647531,1381,CLASSIC,10.5.312.392
4219545724,1313,CLASSIC,10.5.312.392
4219463634,1660,CLASSIC,10.5.312.392
4217069365,1221,CLASSIC,10.5.312.392
4216998163,1356,CLASSIC,10.5.312.392
4214820366,1491,CLASSIC,10.5.312.392
4208036316,1209,CLASSIC,10.5.312.392
4205806443,2224,CLASSIC,10.5.311.166
4205778093,984,CLASSIC,10.5.311.166
4205718397,1222,CLASSIC,10.5.311.166
4205609024,1835,CLASSIC,10.5.311.166
4201063474,1437,CLASSIC,10.5.311.166
4201002719,1430,CLASSIC,10.5.311.166
4200860184,1215,CLASSIC,10.5.311.166
4191943697,2016,CLASSIC,10.4.308.9400
4191827488,1389,CLASSIC,10.4.308.9400
4186297500,1821,CLASSIC,10.4.308.9400
4186224914,1329,CLASSIC,10.4.308.9400
4186016838,2310,CLASSIC,10.4.308.9400
4185880938,1822,CLASSIC,10.4.308.9400
4183509170,1401,CLASSIC,10.4.308.9400
4183404231,1853,CLASSIC,10.4.308.9400
4169877994,1337,CLASSIC,10.4.308.9400
4169807983,1109,CLASSIC,10.4.308.9400
4169722149,1816,CLASSIC,10.4.308.9400
4169630150,962,CLASSIC,10.4.308.9400
4163513474,967,CLASSIC,10.3.307.7898
4161051062,2012,CLASSIC,10.3.307.7898
4160473191,2323,CLASSIC,10.3.307.7898
4158940409,1459,CLASSIC,10.3.307.7898
4158792026,1845,CLASSIC,10.3.307.7898
4158690093,1725,CLASSIC,10.3.307.7898
4150560544,951,CLASSIC,10.3.307.7898
4150339701,1348,CLASSIC,10.3.307.7898
4150233255,1318,CLASSIC,10.3.307.7898
4150072840,1172,CLASSIC,10.3.307.7898
4141879503,1925,CLASSIC,10.3.307.1028
4141756373,192,CLASSIC,10.3.307.1028
4141536785,1458,CLASSIC,10.3.307.1028
4139317309,1978,CLASSIC,10.3.307.1028
4137337572,1545,CLASSIC,10.3.307.1028
4137221905,1562,CLASSIC,10.3.307.1028
4136497029,1151,CLASSIC,10.3.307.1028
4135625642,1736,CLASSIC,10.3.307.1028
4135631513,968,CLASSIC,10.3.307.1028
4135503804,2236,CLASSIC,10.3.307.1028
4135463990,1373,CLASSIC,10.3.307.1028
4132750156,1182,CLASSIC,10.3.307.1028
4132662255,1224,CLASSIC,10.3.307.1028
4131438536,1413,CLASSIC,10.2.305.4739
4131349884,2036,CLASSIC,10.2.305.4739
4131228269,1979,CLASSIC,10.2.305.4739
4131183383,1473,CLASSIC,10.2.305.4739
4130838785,1150,CLASSIC,10.2.305.4739
4127304820,1531,CLASSIC,10.2.305.4739
4127195860,1497,CLASSIC,10.2.305.4739
4127134706,1313,CLASSIC,10.2.305.4739
4127017961,1600,CLASSIC,10.2.305.4739
4126859718,1973,CLASSIC,10.2.305.4739
4126778547,1213,CLASSIC,10.2.305.4739
4126741986,1012,CLASSIC,10.2.305.4739
4126486529,1585,CLASSIC,10.2.305.4739
4125363745,1035,CLASSIC,10.2.305.4739
4125243537,1577,CLASSIC,10.2.305.4739
4125181013,931,CLASSIC,10.2.305.4739
4124979926,1831,CLASSIC,10.2.305.4739
4124953438,1361,CLASSIC,10.2.305.4739
4124850963,1527,CLASSIC,10.2.305.4739
4124417063,1795,CLASSIC,10.2.305.4739
4124110363,1636,CLASSIC,10.2.305.4739
4124060029,1725,CLASSIC,10.2.305.4739
4120640812,1504,CLASSIC,10.2.305.4739
4120513018,1150,CLASSIC,10.2.305.4739
4120336083,2166,CLASSIC,10.2.305.4739
4120244000,1813,CLASSIC,10.2.305.4739
4118590836,2556,CLASSIC,10.2.305.4739
4118495113,944,CLASSIC,10.2.305.4739
4118432488,1053,CLASSIC,10.2.305.4739
4105344112,940,CLASSIC,10.2.305.4739
4104917522,1670,CLASSIC,10.2.305.4739
4104540446,1027,CLASSIC,10.2.305.4739
4104397715,1649,CLASSIC,10.2.305.4739
4241563962,1573,CLASSIC,10.6.313.8894
4241451592,1715,CLASSIC,10.6.313.8894
4240992890,1373,CLASSIC,10.6.313.8894
4240660159,926,CLASSIC,10.6.313.8894
4240354239,2196,CLASSIC,10.6.313.8894
4240138715,1432,CLASSIC,10.6.313.8894
4239979256,1861,CLASSIC,10.6.313.8894
4239909363,1620,CLASSIC,10.6.313.8894
4239844329,1498,CLASSIC,10.6.313.8894
4237076217,2864,CLASSIC,10.6.313.8894
4236209362,1448,CLASSIC,10.6.313.8894
4236142587,1790,CLASSIC,10.6.313.8894
